"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"JA000047649","34.767","136.15","161.0","1991-06-30","77","83","72"
"JA000047649","34.767","136.15","161.0","1991-07-01","76","81",
"JA000047649","34.767","136.15","161.0","1991-07-02","74","81",
"JA000047649","34.767","136.15","161.0","1991-07-03","72","81",
"JA000047649","34.767","136.15","161.0","1991-07-04","73","81","65"
"JA000047649","34.767","136.15","161.0","1991-07-05","74","82",
"JA000047649","34.767","136.15","161.0","1991-07-06","74","85",
"JA000047649","34.767","136.15","161.0","1991-07-07","78","85","67"
"JA000047649","34.767","136.15","161.0","1991-07-08","74","87",
"JA000047649","34.767","136.15","161.0","1991-07-09","78","90","65"
"JA000047649","34.767","136.15","161.0","1991-07-10","80","93","70"
"JA000047649","34.767","136.15","161.0","1991-07-11","80","92","70"
"JA000047649","34.767","136.15","161.0","1991-07-12","79","89","71"
"JA000047649","34.767","136.15","161.0","1991-07-13","75","82",
"JA000047649","34.767","136.15","161.0","1991-07-14","77","88",
"JA000047649","34.767","136.15","161.0","1991-07-15","76","82","69"
"JA000047649","34.767","136.15","161.0","1991-07-16","76","82","72"
"JA000047649","34.767","136.15","161.0","1991-07-17","80","87","72"
"JA000047649","34.767","136.15","161.0","1991-07-18","71","79",
"JA000047649","34.767","136.15","161.0","1991-07-19","78","87","69"
"JA000047649","34.767","136.15","161.0","1991-07-20","79","92","72"
"JA000047649","34.767","136.15","161.0","1991-07-21","81","91","72"
"JA000047649","34.767","136.15","161.0","1991-07-22","82","94",
"JA000047649","34.767","136.15","161.0","1991-07-23","90","96","73"
"JA000047649","34.767","136.15","161.0","1991-07-25","80","95",
"JA000047649","34.767","136.15","161.0","1991-07-26","87","95","73"
"JA000047649","34.767","136.15","161.0","1991-07-27","77","90","73"
"JA000047649","34.767","136.15","161.0","1991-07-28","78","88",
"JA000047649","34.767","136.15","161.0","1991-07-29","80","87","72"
"JA000047649","34.767","136.15","161.0","1991-07-30","84","95","76"
"JA000047649","34.767","136.15","161.0","1991-07-31","81","91",
"JA000047649","34.767","136.15","161.0","1991-08-01","85","94",
"JA000047649","34.767","136.15","161.0","1991-08-02","82","92",
"JA000047649","34.767","136.15","161.0","1991-08-03","77","88",
"JA000047649","34.767","136.15","161.0","1991-08-04","73","81",
"JA000047649","34.767","136.15","161.0","1991-08-05","75","82","67"
"JA000047649","34.767","136.15","161.0","1991-08-06","74","79","70"
"JA000047649","34.767","136.15","161.0","1991-08-07","71","79",
"JA000047649","34.767","136.15","161.0","1991-08-08","72","82",
"JA000047649","34.767","136.15","161.0","1991-08-09","77","87","62"
"JA000047649","34.767","136.15","161.0","1991-08-10","78","89","69"
"JA000047649","34.767","136.15","161.0","1991-08-11","78","86","72"
"JA000047649","34.767","136.15","161.0","1991-08-12","79","90",
"JA000047649","34.767","136.15","161.0","1991-08-13","76","88",
"JA000047649","34.767","136.15","161.0","1991-08-14","75","86",
"JA000047649","34.767","136.15","161.0","1991-08-15","78","89","68"
"JA000047649","34.767","136.15","161.0","1991-08-16","78","89","68"
"JA000047649","34.767","136.15","161.0","1991-08-17","81","92","70"
"JA000047649","34.767","136.15","161.0","1991-08-18","82","90","72"
"JA000047649","34.767","136.15","161.0","1991-08-19","81","90",
"JA000047649","34.767","136.15","161.0","1991-08-20","78","84","73"
"JA000047649","34.767","136.15","161.0","1991-08-21","80","86",
"JA000047649","34.767","136.15","161.0","1991-08-22","82","89",
"JA000047649","34.767","136.15","161.0","1991-08-23","82","91",
"JA000047649","34.767","136.15","161.0","1991-08-24","77","86",
"JA000047649","34.767","136.15","161.0","1991-08-25","74","77",
"JA000047649","34.767","136.15","161.0","1991-08-26","74","83",
"JA000047649","34.767","136.15","161.0","1991-08-27","75","81","65"
"JA000047649","34.767","136.15","161.0","1991-08-28","73","80",
"JA000047649","34.767","136.15","161.0","1991-08-29","78","85","69"
"JA000047649","34.767","136.15","161.0","1991-08-30","78","85","75"
"JA000047649","34.767","136.15","161.0","1991-08-31","76","88",
"JA000047649","34.767","136.15","161.0","1991-09-01","78","88","67"
"JA000047649","34.767","136.15","161.0","1991-09-02","79","87","70"
"JA000047649","34.767","136.15","161.0","1991-09-03","78","90",
"JA000047649","34.767","136.15","161.0","1991-09-04","80","92","70"
"JA000047649","34.767","136.15","161.0","1991-09-05","80","91","72"
"JA000047649","34.767","136.15","161.0","1991-09-06","77","91",
"JA000047649","34.767","136.15","161.0","1991-09-07","79","90","70"
"JA000047649","34.767","136.15","161.0","1991-09-08","77","82","73"
"JA000047649","34.767","136.15","161.0","1991-09-09","73","80",
"JA000047649","34.767","136.15","161.0","1991-09-10","71","83",
"JA000047649","34.767","136.15","161.0","1991-09-11","73","87","61"
"JA000047649","34.767","136.15","161.0","1991-09-12","75","85","62"
"JA000047649","34.767","136.15","161.0","1991-09-13","73","78","69"
"JA000047649","34.767","136.15","161.0","1991-09-14","76","85",
"JA000047649","34.767","136.15","161.0","1991-09-15","74","75","69"
"JA000047649","34.767","136.15","161.0","1991-09-16","70","79","66"
"JA000047649","34.767","136.15","161.0","1991-09-17","73","81","67"
"JA000047649","34.767","136.15","161.0","1991-09-18","71","79","67"
"JA000047649","34.767","136.15","161.0","1991-09-19","73","81",
"JA000047649","34.767","136.15","161.0","1991-09-20","70","83",
"JA000047649","34.767","136.15","161.0","1991-09-21","72","83","60"
"JA000047649","34.767","136.15","161.0","1991-09-22","70","82",
"JA000047649","34.767","136.15","161.0","1991-09-23","66","77",
"JA000047649","34.767","136.15","161.0","1991-09-24","66","70","60"
"JA000047649","34.767","136.15","161.0","1991-09-25","71","77","64"
"JA000047649","34.767","136.15","161.0","1991-09-26","71","75","68"
"JA000047649","34.767","136.15","161.0","1991-09-27","78","83","68"
"JA000047649","34.767","136.15","161.0","1991-09-28","66","84",
"JA000047649","34.767","136.15","161.0","1991-09-29","65","72","56"
"JA000047649","34.767","136.15","161.0","1991-09-30","66","72","61"
"JA000047649","34.767","136.15","161.0","1991-10-01","69","72","63"
"JA000047649","34.767","136.15","161.0","1991-10-02","65","74",
"JA000047649","34.767","136.15","161.0","1991-10-03","64","80",
"JA000047649","34.767","136.15","161.0","1991-10-04","71","83","52"
"JA000047649","34.767","136.15","161.0","1991-10-05","62","68","61"
